Unit	F	f_feminin	score_feminin	f_manuel	score_manuel	f_masculin	score_masculin
，	4472	1702	-12.1426	1351	75.4905	1419	-17.7211
。	1843	594	-21.599	647	57.9512	602	-5.3623
“	982	317	-11.5746	375	42.3263	290	-7.2394
”	982	317	-11.5746	375	42.3263	290	-7.2394
：	928	307	-9.4966	336	32.5836	285	-5.2043
了	548	303	8.5462	0	-52.326	245	3.517
！	445	159	-2.9513	148	11.2983	138	-2.6447
道	419	242	9.2502	0	-39.9177	177	1.5908
？	314	107	-3.0918	127	16.9735	80	-5.4409
的	309	181	7.7148	0	-29.3814	128	1.062
你	304	190	11.392	0	-28.9034	114	-0.2817
那	263	169	11.6665	0	-24.9874	94	-0.5259
唐僧	247	152	8.5793	5	-16.6061	90	-0.41
我	242	155	10.6014	0	-22.9837	87	-0.4792
是	234	131	4.4331	1	-20.4541	102	1.4881
八戒	226	120	2.8996	8	-12.0997	98	1.3893
悟空	225	141	8.7606	12	-9.1635	72	-1.313
师父	195	103	2.483	20	-3.4998	72	-0.3343
这	189	136	15.2965	0	-17.9335	53	-2.4205
便	180	128	13.797	0	-17.0769	52	-2.034
在	166	96	4.1259	0	-15.7448	70	0.9085
去	140	77	2.5856	0	-13.2727	63	1.3807
得	118	80	7.3877	0	-11.1827	38	-0.8687
也	117	63	1.9569	0	-11.0878	54	1.4652
妖精	115	82	9.191	0	-10.8979	33	-1.5278
见	111	50	0.4456	0	-10.5181	61	3.8603
、	110	21	-6.9702	54	11.4885	35	-0.8968
说	108	39	-1.043	2	-7.6625	67	6.6931
行者	104	16	-8.7851	4	-5.5669	84	18.733
闻言	103	78	10.9103	0	-9.7587	25	-2.5273
女王	90	65	7.7814	1	-7.1638	24	-1.702
来	90	52	2.5006	0	-8.5251	38	0.6838
；	89	10	-10.1449	60	21.9214	19	-3.0982
她	89	85	25.8624	0	-8.4302	4	-12.6678
不	88	57	4.5405	0	-8.3353	31	-0.4293
与	85	46	1.6136	0	-8.0507	39	1.1528
却	83	49	2.6525	0	-7.861	34	0.5316
着	83	40	0.7124	0	-7.861	43	2.2579
女子	82	50	3.1317	0	-7.7662	32	0.3666
心中	80	52	4.2568	0	-7.5765	28	-0.4362
有	78	29	-0.7403	0	-7.3868	49	5.2924
他	76	9	-8.3975	0	-7.1972	67	19.2154
又	74	43	2.2222	0	-7.0075	31	0.5956
沙僧	73	37	0.9561	1	-5.6383	35	1.3561
老猪	73	48	4.1635	0	-6.9127	25	-0.4858
好	68	29	-0.2728	12	-0.3829	27	0.3994
罢	62	34	1.4097	0	-5.87	28	0.8749
忙	61	46	6.6002	0	-5.7752	15	-1.6404
御弟	59	33	1.5241	0	-5.5856	26	0.7395
哥哥	58	18	-1.3633	8	-0.7613	32	2.3323
俺	58	30	0.9555	0	-5.4909	28	1.2137
被	53	24	0.3826	0	-5.0171	29	2.0959
都	52	20	-0.5122	0	-4.9223	32	3.4258
将	52	34	3.048	0	-4.9223	18	-0.4084
只见	51	29	1.5065	1	-3.6994	21	0.4649
一个	51	26	0.8152	0	-4.8276	25	1.2092
个	50	31	2.297	0	-4.7328	19	0.2795
妇人	50	28	1.3702	0	-4.7328	22	0.6769
等	49	40	7.5092	0	-4.6381	9	-2.5096
上	48	22	0.4048	0	-4.5434	26	1.8593
大	47	35	4.9488	0	-4.4486	12	-1.236
还	45	27	1.8082	0	-4.2592	18	0.3767
听	44	23	0.869	0	-4.1645	21	0.9673
一声	44	23	0.869	0	-4.1645	21	0.9673
师徒	44	24	1.0957	0	-4.1645	20	0.7564
要	44	23	0.869	0	-4.1645	21	0.9673
女	43	28	2.562	0	-4.0698	15	-0.3706
若	43	33	5.1782	0	-4.0698	10	-1.4588
陛下	42	27	2.3723	2	-2.1802	13	-0.6236
…	42	10	-2.0939	2	-2.1802	30	5.0743
师姐	42	42	15.4477	0	-3.975	0	-8.5859
走	41	17	-0.3087	0	-3.8803	24	2.2993
人	40	28	3.3123	0	-3.7856	12	-0.6826
且	40	21	0.8437	0	-3.7856	19	0.8943
打	39	26	2.6282	0	-3.6909	13	-0.4454
长老	38	5	-4.0842	4	-0.959	29	5.895
叫	38	16	-0.277	1	-2.5851	21	1.7083
可	38	18	0.4615	0	-3.5962	20	1.3856
贫僧	37	16	0.2623	0	-3.5015	21	1.8716
把	37	13	-0.6658	0	-3.5015	24	3.1702
老孙	37	19	0.7183	0	-3.5015	18	0.9565
呆子	36	14	-0.4228	5	-0.5739	17	0.8198
吃	36	18	0.6133	0	-3.4068	18	1.0656
’	35	3	-5.0272	24	9.386	8	-1.3064
我们	35	11	-0.9445	0	-3.3121	24	3.7204
笑	34	17	0.5974	0	-3.2174	17	1.0283
请	33	16	0.4993	0	-3.1228	17	1.1491
待	33	20	1.5122	0	-3.1228	13	0.3214
看	32	21	2.0962	0	-3.0281	11	-0.3639
只是	31	18	1.1905	0	-2.9334	13	0.4335
见状	31	30	9.7721	0	-2.9334	1	-5.0426
她们	31	22	2.8302	0	-2.9334	9	-0.6646
菩萨	30	17	1.0409	1	-1.9193	12	0.3399
徒弟	30	10	-0.7183	1	-1.9193	19	2.4376
对	30	18	1.3509	0	-2.8387	12	0.3399
就	30	11	-0.5102	0	-2.8387	19	2.4376
这般	30	26	6.0443	0	-2.8387	4	-2.4647
庄院	30	23	3.7469	0	-2.8387	7	-1.1243
到	29	15	0.6589	0	-2.7441	14	0.803
‘	28	3	-3.6073	17	5.6889	8	-0.6596
金箍棒	28	11	-0.3709	0	-2.6494	17	1.9709
取经	28	11	-0.3709	0	-2.6494	17	1.9709
七个	28	13	0.3734	0	-2.6494	15	1.2126
快	27	12	0.2928	0	-2.5547	15	1.3659
一	26	19	2.7448	0	-2.4601	7	-0.7416
和尚	26	16	1.3639	0	-2.4601	10	0.2722
和	26	16	1.3639	0	-2.4601	10	0.2722
咱们	26	24	6.7717	0	-2.4601	2	-3.1859
你们	26	15	1.0306	0	-2.4601	11	0.425
们	25	11	0.2735	0	-2.3654	14	1.3344
女儿	25	18	2.5064	0	-2.3654	7	-0.6555
既	25	15	1.1912	0	-2.3654	10	0.3248
已	25	12	0.4265	0	-2.3654	13	0.9999
四人	25	17	1.999	0	-2.3654	8	-0.4386
不知	24	15	1.3748	0	-2.2707	9	-0.2298
生	24	19	3.4865	0	-2.2707	5	-1.1822
昴	24	11	0.3343	0	-2.2707	13	1.1421
里	23	12	0.6113	0	-2.1761	11	0.6807
虽	23	15	1.5852	0	-2.1761	8	-0.3142
不敢	23	10	0.2536	0	-2.1761	13	1.3033
忽	23	13	0.8726	0	-2.1761	10	0.4578
什么	23	17	2.5875	0	-2.1761	6	-0.7438
婆婆	22	9	-0.2888	2	-0.7793	11	0.7929
正	22	13	1.0253	0	-2.0814	9	0.347
有些	22	13	1.0253	0	-2.0814	9	0.347
再	22	10	0.3137	0	-2.0814	12	1.1066
原来	22	8	-0.4604	0	-2.0814	14	1.9364
但	22	10	0.3137	0	-2.0814	12	1.1066
上前	22	12	0.7281	0	-2.0814	10	0.5411
出	22	12	0.7281	0	-2.0814	10	0.5411
吧	22	12	0.7281	0	-2.0814	10	0.5411
三个	22	10	0.3137	0	-2.0814	12	1.1066
日星	22	11	0.4927	0	-2.0814	11	0.7929
半合	22	0	-5.3582	0	-2.0814	22	9.3714
行者道	21	0	-5.1145	21	14.8887	0	-4.2912
欲	21	18	4.1701	0	-1.9868	3	-1.7134
西天	21	10	0.3861	0	-1.9868	11	0.922
钉耙	21	11	0.5947	0	-1.9868	10	0.638
寡人	21	11	0.5947	0	-1.9868	10	0.638
正是	20	8	-0.3102	5	0.454	7	-0.2949
喝道	20	12	1.0255	1	-1.1235	7	-0.2949
三人	20	9	0.2921	0	-1.8922	11	1.0709
想	20	12	1.0255	0	-1.8922	8	0.3072
哪里	20	8	-0.3102	0	-1.8922	12	1.4634
才	20	9	0.2921	0	-1.8922	11	1.0709
乃	20	13	1.4098	0	-1.8922	7	-0.2949
向	20	16	3.0894	0	-1.8922	4	-1.104
乃是	20	15	2.4315	0	-1.8922	5	-0.7491
洞	20	11	0.7154	0	-1.8922	9	0.4979
如意	20	14	1.8755	0	-1.8922	6	-0.4846
蝎子	20	11	0.7154	0	-1.8922	9	0.4979
变	19	7	-0.414	2	-0.5999	10	0.8819
今日	19	6	-0.6505	0	-1.7975	13	2.2078
让	19	13	1.6521	0	-1.7975	6	-0.4085
