Occ	Freq	CoFreq	Score	MeanDist
所以	7	3	4.8739	6.6666665
打	45	5	4.7052	5.6
便会	2	2	4.271	4.0
不该	2	2	4.271	7.0
化不来	2	2	4.271	6.0
极快	2	2	4.271	2.0
连个	2	2	4.271	3.0
慢下来	2	2	4.271	2.0
笑话	2	2	4.271	1.0
走得	2	2	4.271	3.0
不怕	3	2	3.796	5.5
二女儿	3	2	3.796	2.5
配	3	2	3.796	4.0
怪	15	3	3.7789	4.0
自己	44	4	3.5151	1.0
退回去	4	2	3.4971	3.0
想	46	4	3.4402	4.5
女儿	21	3	3.3272	2.6666667
哩	7	2	2.9593	2.5
低着头	8	2	2.8365	5.0
只有	9	2	2.7295	8.0
没事	10	2	2.6347	7.0
经过	11	2	2.5496	7.0
又	192	6	2.5152	3.1666667
四个	13	2	2.4021	7.0
挑着	16	2	2.2213	9.0
斋	17	2	2.169	4.0
