Occ	Freq	CoFreq	Score	MeanDist
打	45	11	9.5553	3.4545455
跳	6	3	3.98	7.6666665
水	16	4	3.8328	3.0
吊桶	2	2	3.5087	4.5
发狠	2	2	3.5087	4.5
盔甲	2	2	3.5087	6.0
劈头盖脸	2	2	3.5087	0.0
桶	2	2	3.5087	2.5
下水	2	2	3.5087	6.5
她们	23	4	3.1882	1.0
抡	11	3	3.0922	4.0
反正	3	2	3.0366	2.0
鼓着	3	2	3.0366	7.0
坚硬	3	2	3.0366	7.0
怎么办	3	2	3.0366	3.0
一棒	12	3	2.973	3.3333333
哎	4	2	2.7407	9.0
举棒	4	2	2.7407	1.0
哪儿	4	2	2.7407	2.0
信	4	2	2.7407	7.0
总	4	2	2.7407	3.0
就	102	7	2.6513	2.142857
棒子	16	3	2.59	6.0
怕	16	3	2.59	4.6666665
不好	5	2	2.524	4.0
腮帮子	5	2	2.524	6.0
下来	17	3	2.5114	0.0
要	59	5	2.417	0.2
当头	7	2	2.2119	3.0
女妖	7	2	2.2119	3.0
金箍棒	45	4	2.0948	2.5
厉害	8	2	2.0921	3.5
野枣	8	2	2.0921	9.0
