Occ	Freq	CoFreq	Score	MeanDist
当头	7	6	9.2841	1.0
劈落	5	5	8.4334	2.2
已	55	10	6.7771	2.2
大踏步	4	4	6.7458	5.5
跟上去	4	4	6.7458	6.0
使出	5	4	6.054	4.5
懒洋洋	3	3	5.0586	5.6666665
已握	3	3	5.0586	2.0
耳朵	15	5	5.0305	2.8
将	72	9	4.7632	4.0
捏	9	4	4.6813	1.5
肩上	5	3	4.0721	1.6666666
趁	2	2	3.3719	8.5
垂着头	2	2	3.3719	6.0
二话不说	2	2	3.3719	1.0
发白	2	2	3.3719	3.0
甫	2	2	3.3719	2.0
光影	2	2	3.3719	6.0
火	2	2	3.3719	8.0
或者	2	2	3.3719	4.0
盔甲	2	2	3.3719	9.0
脸沉	2	2	3.3719	7.0
默许	2	2	3.3719	5.0
劈	2	2	3.3719	5.0
劈头盖脸	2	2	3.3719	1.0
骗开	2	2	3.3719	2.0
破绽	2	2	3.3719	2.0
伸向	2	2	3.3719	6.0
手心	2	2	3.3719	4.0
手已	2	2	3.3719	8.0
数条	2	2	3.3719	5.0
说不上来	2	2	3.3719	8.0
腾	2	2	3.3719	3.0
需	2	2	3.3719	2.0
虚虚实实	2	2	3.3719	8.0
诱惑	2	2	3.3719	9.0
跃起	2	2	3.3719	1.0
再辩	2	2	3.3719	2.0
早有	2	2	3.3719	5.0
掷	2	2	3.3719	4.0
搭	8	3	3.3441	1.0
取出	9	3	3.1747	0.0
手里	36	5	3.0874	1.4
悟空	345	17	3.0285	4.4117646
回	10	3	3.0265	3.6666667
，	5422	143	2.9259	3.804196
计较	3	2	2.9008	4.0
举起	3	2	2.9008	1.0
啪	3	2	2.9008	8.0
神通	3	2	2.9008	1.0
随时	3	2	2.9008	2.0
张	3	2	2.9008	8.0
张嘴	3	2	2.9008	6.0
站	45	5	2.6429	2.6
地上	28	4	2.6058	4.5
侧身	4	2	2.6058	2.0
插	4	2	2.6058	4.0
大步	4	2	2.6058	4.0
高高	4	2	2.6058	0.0
看起来	4	2	2.6058	6.0
那具	4	2	2.6058	8.0
如刀	4	2	2.6058	7.0
需要	4	2	2.6058	8.0
扬起	4	2	2.6058	0.0
一停	4	2	2.6058	1.0
移开	4	2	2.6058	2.0
准备	4	2	2.6058	6.0
握	14	3	2.5713	0.6666667
那虎	5	2	2.3899	6.5
作	5	2	2.3899	4.0
她	273	13	2.3249	6.6923075
猴子	18	3	2.2474	1.0
迟疑	6	2	2.2198	1.0
轰然	6	2	2.2198	3.0
压不住	6	2	2.2198	6.0
一	58	5	2.1638	2.2
一个	109	7	2.1239	4.857143
手	20	3	2.1154	4.3333335
告诉	7	2	2.0796	6.0
罐子	7	2	2.0796	5.0
假	7	2	2.0796	9.0
近	7	2	2.0796	9.0
腾身	7	2	2.0796	1.0
原地	7	2	2.0796	3.0
那	396	16	2.0552	4.5625
地	88	6	2.0084	6.0
